Rep-id,Condition,Task,SOA,Time,Act-Red,Act-Green
11,congruent,word reading,10,104,0.9994399182597696,0.0006021191301427894
11,congruent,word reading,10,105,0.999482232959208,0.0005327524249663971
11,congruent,word reading,10,106,0.9995444876416799,0.0004953613138797705
11,congruent,word reading,10,107,0.9995954404576536,0.0004636982803786134
11,congruent,word reading,10,108,0.9996069391122584,0.0004623928825810754
11,congruent,word reading,10,109,0.9996552032105416,0.0004306741828067579
11,congruent,word reading,10,110,0.9997031602040458,0.0004021195381932768
11,congruent,word reading,10,111,0.9997199885054829,0.00036475551398275065
11,congruent,word reading,10,112,0.9997410274545,0.0003375539967738975
11,congruent,word reading,10,113,0.999764139097039,0.00030857141674151434
11,congruent,word reading,10,114,0.9997824111311396,0.00027925551957962375
11,congruent,word reading,10,115,0.9998081199579235,0.00025159856172213014
11,congruent,word reading,10,116,0.9998150598970593,0.00022806159165131672
11,congruent,word reading,10,117,0.9998301509239463,0.00020939785517653007
11,congruent,word reading,10,118,0.9998388266382392,0.00018444294960310532
11,congruent,word reading,10,119,0.9998531302230386,0.00016913895358648787
12,congruent,word reading,10,0,0.49329872948171777,0.5000688281830392
12,congruent,word reading,10,1,0.5025487104771805,0.5000878327598216
12,congruent,word reading,10,2,0.48643108465092494,0.4985021603956884
12,congruent,word reading,10,3,0.4896277704303195,0.5055183123259468
12,congruent,word reading,10,4,0.48908030065833497,0.5083830318409117
12,congruent,word reading,10,5,0.4964870584301499,0.4966484161563237
12,congruent,word reading,10,6,0.5085460229001564,0.48959177323338365
12,congruent,word reading,10,7,0.49436736653615077,0.4961199913541788
12,congruent,word reading,10,8,0.4970227729653153,0.48661736574777226
12,congruent,word reading,10,9,0.5048808489887694,0.4833938379013546
12,congruent,word reading,10,10,0.5048437648302734,0.48908071623249944
12,congruent,word reading,10,11,0.5153363357417269,0.48698111434141395
12,congruent,word reading,10,12,0.5242823012123824,0.4753905473638364
12,congruent,word reading,10,13,0.5284295491359657,0.48046399444022614
12,congruent,word reading,10,14,0.5268891118965575,0.4716744840816115
12,congruent,word reading,10,15,0.536168191389096,0.4534735760811054
12,congruent,word reading,10,16,0.5524734963547818,0.4311417456261725
12,congruent,word reading,10,17,0.5712946916997124,0.4254777370819924
12,congruent,word reading,10,18,0.577366026577308,0.42386736934371333
12,congruent,word reading,10,19,0.5942072555571417,0.41834524389377375
12,congruent,word reading,10,20,0.5949267326093416,0.4098974046866149
12,congruent,word reading,10,21,0.6174318163098369,0.40272311461113525
12,congruent,word reading,10,22,0.6237151563307988,0.39073189209272846
12,congruent,word reading,10,23,0.6294947980804116,0.38264936098890706
12,congruent,word reading,10,24,0.6445073955289234,0.37482970726064374
12,congruent,word reading,10,25,0.650081418462082,0.35916207405984485
12,congruent,word reading,10,26,0.6654244671812902,0.3478942519212136
12,congruent,word reading,10,27,0.6731213303444408,0.34857812555615486
12,congruent,word reading,10,28,0.6779737616593554,0.34079932123052736
12,congruent,word reading,10,29,0.6823989426057009,0.33213589896164625
12,congruent,word reading,10,30,0.7009648652680384,0.3180876402643594
12,congruent,word reading,10,31,0.7121642763996997,0.3058586832214081
12,congruent,word reading,10,32,0.7184287709946642,0.301036569860256
12,congruent,word reading,10,33,0.7227573846484481,0.2783680764469982
12,congruent,word reading,10,34,0.7371554401310173,0.26965805115979463
12,congruent,word reading,10,35,0.7466341773029062,0.25881524642995735
12,congruent,word reading,10,36,0.7561600872884349,0.2505241862796459
12,congruent,word reading,10,37,0.7620017322036831,0.23719978264149782
12,congruent,word reading,10,38,0.7802115791584316,0.21410100896389356
12,congruent,word reading,10,39,0.7847220458462432,0.1985842076434269
12,congruent,word reading,10,40,0.8025494774325571,0.18195217140629613
12,congruent,word reading,10,41,0.8177948668916049,0.17173127889563047
12,congruent,word reading,10,42,0.8282078869943708,0.17563752712639638
12,congruent,word reading,10,43,0.8392642047109883,0.1612929985356925
12,congruent,word reading,10,44,0.8504006347571528,0.15018895501038929
12,congruent,word reading,10,45,0.8621224067027642,0.14074632456623495
12,congruent,word reading,10,46,0.8717434262879337,0.1303262053331591
12,congruent,word reading,10,47,0.8785322736493787,0.12113544702345679
12,congruent,word reading,10,48,0.8873520655517821,0.11503098884164463
12,congruent,word reading,10,49,0.8892183966725195,0.1046915441317065
12,congruent,word reading,10,50,0.89831291859858,0.09346536439467654
12,congruent,word reading,10,51,0.9036322753730194,0.08662817761174421
12,congruent,word reading,10,52,0.907884535034734,0.08057960200527846
12,congruent,word reading,10,53,0.9129882159560585,0.07658411462117483
12,congruent,word reading,10,54,0.9159938946932761,0.07243135146580511
12,congruent,word reading,10,55,0.9246242456768321,0.06609231371256359
12,congruent,word reading,10,56,0.9281822292785529,0.061299418103414605
12,congruent,word reading,10,57,0.9350690990022167,0.05798076536159324
12,congruent,word reading,10,58,0.9388124504278257,0.05377608481822746
12,congruent,word reading,10,59,0.9447111781156546,0.04604420584166411
12,congruent,word reading,10,60,0.9504253906587969,0.04404337927417081
12,congruent,word reading,10,61,0.9534059069280216,0.04044157926501993
12,congruent,word reading,10,62,0.9570279004173273,0.03630311629421428
12,congruent,word reading,10,63,0.9598925834510491,0.03333929668251123
12,congruent,word reading,10,64,0.9633657101612867,0.029748313275266527
12,congruent,word reading,10,65,0.9677626339557508,0.026142649860374796
12,congruent,word reading,10,66,0.969828414873989,0.0241757710885249
12,congruent,word reading,10,67,0.9722976180297503,0.02226892174955271
12,congruent,word reading,10,68,0.9736607856859496,0.020936517386643094
12,congruent,word reading,10,69,0.9756317277908734,0.019267071346066606
12,congruent,word reading,10,70,0.9774307529947239,0.01798860524749481
12,congruent,word reading,10,71,0.9784346988339383,0.015627775679866403
12,congruent,word reading,10,72,0.9797089820405489,0.013698650748548936
12,congruent,word reading,10,73,0.980332428712088,0.013038159833768074
12,congruent,word reading,10,74,0.9813921155234375,0.01180171158543081
12,congruent,word reading,10,75,0.9830933679250258,0.010544367933482452
12,congruent,word reading,10,76,0.9845285286541905,0.009648070637177918
12,congruent,word reading,10,77,0.9865255488626488,0.008795343304728
12,congruent,word reading,10,78,0.9876136461661386,0.007573217337345116
12,congruent,word reading,10,79,0.9881999841776785,0.006952854429595569
12,congruent,word reading,10,80,0.9893631973461539,0.006329066659271569
12,congruent,word reading,10,81,0.9903870020552817,0.005897678742628218
12,congruent,word reading,10,82,0.9907595854053612,0.005316885265061466
12,congruent,word reading,10,83,0.9917958170470914,0.00459627751053183
12,congruent,word reading,10,84,0.9924211635198275,0.00419578711108007
12,congruent,word reading,10,85,0.9932649188293866,0.003914118262369192
12,congruent,word reading,10,86,0.9936499186166708,0.003634817335904247
12,congruent,word reading,10,87,0.9939623239436172,0.003239056354811993
12,congruent,word reading,10,88,0.9944117688650828,0.0029202146261492635
12,congruent,word reading,10,89,0.994991786903862,0.002651007398657872
12,congruent,word reading,10,90,0.9952520005309291,0.0023184464147231
12,congruent,word reading,10,91,0.995999162416402,0.002109561870832548
12,congruent,word reading,10,92,0.9964597467246832,0.0018834831650783464
12,congruent,word reading,10,93,0.9968072623462939,0.0017323517941498887
12,congruent,word reading,10,94,0.9971676812842647,0.0016397300226280737
12,congruent,word reading,10,95,0.9973331759559403,0.0014803518670269563
12,congruent,word reading,10,96,0.9975608060820937,0.0013103937962687016
12,congruent,word reading,10,97,0.9977840635816237,0.0012519582111584708
12,congruent,word reading,10,98,0.9979308409741777,0.0011790742632177568
12,congruent,word reading,10,99,0.998131713852088,0.001049582233774842
12,congruent,word reading,10,100,0.9983350307132687,0.0009261930065052896
12,congruent,word reading,10,101,0.998517842186568,0.0008653420238548262
12,congruent,word reading,10,102,0.998575116100295,0.0007707200020929831
12,congruent,word reading,10,103,0.9986793854106728,0.0007061932586346487
12,congruent,word reading,10,104,0.9988145646114217,0.0006819994574104733
12,congruent,word reading,10,105,0.998964806523694,0.0006629093553610164
12,congruent,word reading,10,106,0.9990659835841339,0.0006246845628233836
12,congruent,word reading,10,107,0.999127774106061,0.0005622967220104993
12,congruent,word reading,10,108,0.9991737580740154,0.0005334561311759442
12,congruent,word reading,10,109,0.9992831193041694,0.00048094833944074643
12,congruent,word reading,10,110,0.9993033226265076,0.00042199584111293835
12,congruent,word reading,10,111,0.9993608301592388,0.00038528967598330533
12,congruent,word reading,10,112,0.9993991642226091,0.0003441492146394959
12,congruent,word reading,10,113,0.9994498509523069,0.00031271034164458296
12,congruent,word reading,10,114,0.9995112423313737,0.00027446498690912103
12,congruent,word reading,10,115,0.9995609946238598,0.0002571947857989592
12,congruent,word reading,10,116,0.9995741775721,0.0002418604140475448
12,congruent,word reading,10,117,0.9996205631662483,0.0002220232058570621
12,congruent,word reading,10,118,0.9996849874629166,0.00019764111163953564
12,congruent,word reading,10,119,0.9997009457087094,0.0001809269333438599
13,congruent,word reading,10,0,0.5083028541271891,0.49748046781347066
13,congruent,word reading,10,1,0.5066331664719042,0.5063700378069018
13,congruent,word reading,10,2,0.49764973233419657,0.4991008189691052
13,congruent,word reading,10,3,0.5019139704491785,0.486397512339804
13,congruent,word reading,10,4,0.5062975325605924,0.4783373063197073
13,congruent,word reading,10,5,0.5068518738890837,0.4779684445503514
13,congruent,word reading,10,6,0.5050890616799588,0.4791798650321867
13,congruent,word reading,10,7,0.5103509443246782,0.4755981797879494
13,congruent,word reading,10,8,0.5270907815853897,0.4796077770753579
13,congruent,word reading,10,9,0.5263684617785123,0.4676666643505732
13,congruent,word reading,10,10,0.5324702249468322,0.46885274255855697
13,congruent,word reading,10,11,0.5416270168177738,0.47920734744259685
13,congruent,word reading,10,12,0.5449573954541405,0.4683733337316009
13,congruent,word reading,10,13,0.547348404666466,0.4701234848799463
13,congruent,word reading,10,14,0.5448467218664663,0.47537188311907486
13,congruent,word reading,10,15,0.5484989280828808,0.4551182077922471
13,congruent,word reading,10,16,0.5682268302012498,0.45513137328180175
13,congruent,word reading,10,17,0.5891211538501311,0.4579912946512375
13,congruent,word reading,10,18,0.6129932844895283,0.4508449186071505
13,congruent,word reading,10,19,0.6199700552055541,0.44193661284789354
13,congruent,word reading,10,20,0.6241049505916667,0.4416413038619023
13,congruent,word reading,10,21,0.6302942448164166,0.4350454998832199
13,congruent,word reading,10,22,0.6399851982011944,0.42300161163619543
13,congruent,word reading,10,23,0.6485698244837828,0.4252596836226121
13,congruent,word reading,10,24,0.6612604230902043,0.4201217205545791
13,congruent,word reading,10,25,0.6622242932645088,0.401271441030177
13,congruent,word reading,10,26,0.6732502423474039,0.4019629589947521
13,congruent,word reading,10,27,0.6873799789550313,0.38855974730901105
13,congruent,word reading,10,28,0.7016517023801602,0.3672306342340205
13,congruent,word reading,10,29,0.7108905958909009,0.3579498733504415
13,congruent,word reading,10,30,0.7143304423855273,0.33290320804934426
13,congruent,word reading,10,31,0.7318865468754188,0.31432491330534873
